order_id,date,category,region,units,revenue
1001,2026-01-04,Electronics,North,3,1249.50
1002,2026-01-05,Apparel,South,7,384.30
1003,2026-01-05,Home,East,2,215.00
1004,2026-01-06,Electronics,West,1,899.99
1005,2026-01-08,Sports,North,4,326.40
1006,2026-01-09,Beauty,South,6,178.20
1007,2026-01-11,Apparel,East,3,164.85
1008,2026-01-12,Toys,West,5,142.75
1009,2026-01-14,Electronics,North,2,1580.00
1010,2026-01-15,Home,South,4,438.60
1011,2026-01-17,Apparel,North,9,512.10
1012,2026-01-18,Sports,East,2,198.00
1013,2026-01-20,Electronics,South,1,749.00
1014,2026-01-21,Beauty,West,8,244.80
1015,2026-01-23,Home,North,3,327.45
1016,2026-01-24,Toys,South,6,171.30
1017,2026-01-26,Apparel,West,5,285.50
1018,2026-01-27,Electronics,East,2,1120.00
1019,2026-01-29,Sports,South,7,571.90
1020,2026-01-30,Home,West,1,109.99
1021,2026-02-02,Beauty,North,4,122.40
1022,2026-02-03,Apparel,South,6,341.70
1023,2026-02-05,Electronics,West,3,2019.75
1024,2026-02-06,Toys,East,9,256.05
1025,2026-02-08,Sports,North,2,163.20
1026,2026-02-09,Home,East,5,546.25
1027,2026-02-11,Electronics,South,1,649.00
1028,2026-02-12,Apparel,North,8,455.20
1029,2026-02-14,Beauty,West,3,91.80
1030,2026-02-15,Toys,South,4,113.80
